Class,Order,Family,Subfamily,Genus,Species,Category,Taxonomie,Liste E,06_06_2021,06_07_2021,06_08_2021,06_09_2021,02_10_2022,02_11_2022
Actinopterygii,Beloniformes,Hemiramphidae,-,-,-,reef-associated; pelagic-neritic; pelagic-oceanic,Hemiramphidae b,"Hemiramphus balao, Hemiramphus brasiliensis (a), Hyporhamphus collettei (a), Hyporhamphus roberti (a), Oxyporhamphus micropterus, Oxyporhamphus similis (a)",0,0,0,0,0,1
Actinopterygii,Carangiformes,Istiophoridae,-,-,-,pelagic,Istiophoridae,"Tetrapturus pfluegeri, Makaira nigricans, Istiophorus albicans, Istiophorus platypterus, Kajikia albida",0,1,0,0,0,0
Actinopterygii,Myctophiformes,Myctophidae,Lampanyctinae,Lampadena,luminosa,bathypelagic,Lampadena luminosa,Lampadena luminosa,0,0,0,0,1,0
Actinopterygii,Myctophiformes,Myctophidae,Lampanyctinae,Lampanyctus,-,bathypelagic,Lampanyctus sp.,"Lampanyctus ater (a), Lampanyctus cuprarius (a), Lampanyctus lineatus (a), Lampanyctus nobilis (a), Lampanyctus photonotus (a), Lampanyctus vadulus (a)",0,0,0,0,0,1
Actinopterygii,Ophidiiformes,Ophidiidae,Ophidiinae,Lepophidium,-,benthopelagic,Lepophidium sp.,"Lepophidium aporrhox (a), Lepophidium brevibarbe (a), Lepophidium collettei (a), Lepophidium crossotum (a), Lepophidium cultratum (a), Lepophidium entomelan (a), Lepophidium gilmorei (a), Lepophidium jeannae (a), Lepophidium kallion (a), Lepophidium marmoratum (a), Lepophidium pardale (a), Lepophidium pheromystax (a), Lepophidium robustum (a), Lepophidium staurophor (a), Lepophidium wileyi (a), Lepophidium zophochir (a)",0,0,0,0,1,0
Actinopterygii,Perciformes,Lutjanidae,Lutjaninae,-,-,reef-associated,Lutjanidae,"Lutjanus analis, Lutjanus buccanella, Lutjanus campechanus, Lutjanus mahogoni, Lutjanus synagris, Lutjanus vivanus , Lutjanus ambiguus (a), Lutjanus purpureus (a), Ocyurus chysurus",0,1,0,0,0,0
Actinopterygii,Perciformes,Lutjanidae,Lutjaninae,Lutjanus,-,reef-associated,Lutjanus sp.,"Lutjanus synagris, Lutjanus ambiguus (a), Lutjanus purpureus (a)",0,1,0,0,0,0
Actinopterygii,Mulliformes,Mullidae,-,Mulloidichthys,martinicus,reef-associated,Mulloidichthys martinicus,Mulloidichthys martinicus,0,0,0,1,0,0
Actinopterygii,Myctophiformes,Myctophidae,Myctophinae,Myctophum,-,bathypelagic,Myctophum sp.,Myctophum orientale (b),0,0,0,1,0,0
Actinopterygii,Acropomatiformes,Bathyclupeidae,-,Neobathyclupea,argentea,pelagic-oceanic,Neobathyclupea argentea,Neobathyclupea argentea,1,0,0,0,0,0
Actinopterygii,Myctophiformes,Neoscopelidae,-,Neoscopelus,macrolepidotus,bathypelagic,Neoscopelus macrolepidotus,Neoscopelus macrolepidotus,0,1,0,0,0,0
Actinopterygii,Beloniformes,Exocoetidae,-,Parexocoetus,-,pelagic-neritic,Parexocoetus sp. 2,"Parexocoetus brachypterus, Parexocoetus hillianus (a)",1,1,1,1,0,1
Actinopterygii,Beloniformes,Exocoetidae,-,Parexocoetus,-,pelagic-neritic,Parexocoetus sp. 1,"Parexocoetus brachypterus, Parexocoetus hillianus (a)",0,0,0,0,0,1
Actinopterygii,Beloniformes,Belonidae,-,Platybelone,argalus,reef-associated,Platybelone argalus,Platybelone argalus,0,0,0,0,1,0
Actinopterygii,Perciformes,Grammistidae,-,Pseudogramma,gregoryi,reef-associated,Pseudogramma gregoryi,Pseudogramma gregoryi,0,0,0,1,0,0
Actinopterygii,Mulliformes,Mullidae,-,Pseudupeneus,maculatus,reef-associated,Pseudupeneus maculatus,Pseudupeneus maculatus,0,1,0,0,0,0
